2021-06-25 15:15:15.004 [restartedMain] INFO  idv.example.demo.Angus01AppApplication - Starting Angus01AppApplication using Java 1.8.0_252 on AngusChenCH with PID 3752 (E:\_BlueSprintTools4_workspace\Angus01App\target\classes started by AngusChen in E:\_BlueSprintTools4_workspace\Angus01App)
2021-06-25 15:15:15.005 [restartedMain] INFO  idv.example.demo.Angus01AppApplication - No active profile set, falling back to default profiles: default
2021-06-25 15:15:15.478 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.ws.config.annotation.DelegatingWsConfiguration' of type [org.springframework.ws.config.annotation.DelegatingWsConfiguration$$EnhancerBySpringCGLIB$$1d77d328] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-06-25 15:15:15.483 [restartedMain] INFO  o.s.w.s.a.server.AnnotationActionEndpointMapping - Supporting [WS-Addressing August 2004, WS-Addressing 1.0]
2021-06-25 15:15:15.575 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2021-06-25 15:15:15.576 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2021-06-25 15:15:15.576 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.46]
2021-06-25 15:15:15.612 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-06-25 15:15:15.613 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 603 ms
2021-06-25 15:15:15.635 [restartedMain] INFO  o.a.camel.core.xml.AbstractCamelContextFactoryBean - Using custom default ThreadPoolProfile with id: defaultThreadPoolProfile and implementation: org.apache.camel.model.ThreadPoolProfileDefinition@4988208c
2021-06-25 15:15:15.639 [restartedMain] INFO  o.apache.camel.impl.converter.DefaultTypeConverter - Type converters loaded (core: 195, classpath: 11)
2021-06-25 15:15:15.640 [restartedMain] INFO  o.apache.camel.impl.DefaultExecutorServiceManager - Using custom DefaultThreadPoolProfile: ThreadPoolProfile[defaultThreadPoolProfile (true) size:50-200, keepAlive: 60 SECONDS, maxQueue: 1000, allowCoreThreadTimeOut:false, rejectedPolicy:CallerRuns]
2021-06-25 15:15:15.723 [restartedMain] WARN  o.s.b.a.t.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration - Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
2021-06-25 15:15:15.757 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2021-06-25 15:15:15.782 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2021-06-25 15:15:15.786 [restartedMain] INFO  org.apache.camel.spring.SpringCamelContext - Apache Camel 2.24.2 (CamelContext: camel) is starting
2021-06-25 15:15:15.787 [restartedMain] INFO  o.a.camel.management.ManagedManagementStrategy - JMX is enabled
2021-06-25 15:15:15.839 [restartedMain] INFO  org.apache.camel.spring.SpringCamelContext - StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2021-06-25 15:15:15.863 [restartedMain] INFO  org.apache.camel.spring.SpringCamelContext - Route: route2 started and consuming from: direct://angus01App
2021-06-25 15:15:15.867 [restartedMain] INFO  org.restlet.Component.Server - Starting the internal [HTTP/1.1] server on port 8081
2021-06-25 15:15:15.869 [restartedMain] INFO  org.apache.camel.spring.SpringCamelContext - Route: angus01App started and consuming from: restlet://http://0.0.0.0:8081/test/angus01App?restletMethods=POST,OPTIONS
2021-06-25 15:15:15.869 [restartedMain] INFO  org.apache.camel.spring.SpringCamelContext - Total 2 routes, of which 2 are started
2021-06-25 15:15:15.870 [restartedMain] INFO  org.apache.camel.spring.SpringCamelContext - Apache Camel 2.24.2 (CamelContext: camel) started in 0.084 seconds
2021-06-25 15:15:15.876 [restartedMain] INFO  idv.example.demo.Angus01AppApplication - Started Angus01AppApplication in 0.976 seconds (JVM running for 1060.303)
2021-06-25 15:15:15.880 [restartedMain] INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
2021-06-25 15:40:32.423 [Thread-17] INFO  org.apache.camel.spring.SpringCamelContext - Apache Camel 2.24.2 (CamelContext: camel) is shutting down
2021-06-25 15:40:32.426 [Thread-17] INFO  org.apache.camel.impl.DefaultShutdownStrategy - Starting to graceful shutdown 2 routes (timeout 300 seconds)
2021-06-25 15:40:32.432 [Camel (camel) thread #2 - ShutdownTask] INFO  org.apache.camel.impl.DefaultShutdownStrategy - Route: angus01App shutdown complete, was consuming from: rest://post:/angus01App?componentName=restlet&description=helloWord%21%21&produces=application%2Fjson&routeId=angus01App
2021-06-25 15:40:32.434 [Camel (camel) thread #2 - ShutdownTask] INFO  org.apache.camel.impl.DefaultShutdownStrategy - Route: route2 shutdown complete, was consuming from: direct://angus01App
2021-06-25 15:40:32.435 [Thread-17] INFO  org.apache.camel.impl.DefaultShutdownStrategy - Graceful shutdown of 2 routes completed in 0 seconds
2021-06-25 15:40:32.473 [Thread-17] INFO  org.apache.camel.spring.SpringCamelContext - Apache Camel 2.24.2 (CamelContext: camel) uptime 25 minutes
2021-06-25 15:40:32.474 [Thread-17] INFO  org.apache.camel.spring.SpringCamelContext - Apache Camel 2.24.2 (CamelContext: camel) is shutdown in 0.051 seconds
2021-06-25 15:40:33.744 [restartedMain] INFO  idv.example.demo.Angus01AppApplication - Starting Angus01AppApplication using Java 1.8.0_252 on AngusChenCH with PID 3752 (E:\_BlueSprintTools4_workspace\Angus01App\target\classes started by AngusChen in E:\_BlueSprintTools4_workspace\Angus01App)
2021-06-25 15:40:33.745 [restartedMain] INFO  idv.example.demo.Angus01AppApplication - No active profile set, falling back to default profiles: default
2021-06-25 15:40:34.394 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.ws.config.annotation.DelegatingWsConfiguration' of type [org.springframework.ws.config.annotation.DelegatingWsConfiguration$$EnhancerBySpringCGLIB$$1d77d328] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-06-25 15:40:34.396 [restartedMain] INFO  o.s.w.s.a.server.AnnotationActionEndpointMapping - Supporting [WS-Addressing August 2004, WS-Addressing 1.0]
2021-06-25 15:40:34.490 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2021-06-25 15:40:34.492 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2021-06-25 15:40:34.493 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.46]
2021-06-25 15:40:34.521 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-06-25 15:40:34.521 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 770 ms
2021-06-25 15:40:34.544 [restartedMain] INFO  o.a.camel.core.xml.AbstractCamelContextFactoryBean - Using custom default ThreadPoolProfile with id: defaultThreadPoolProfile and implementation: org.apache.camel.model.ThreadPoolProfileDefinition@5fadc794
2021-06-25 15:40:34.548 [restartedMain] INFO  o.apache.camel.impl.converter.DefaultTypeConverter - Type converters loaded (core: 195, classpath: 11)
2021-06-25 15:40:34.548 [restartedMain] INFO  o.apache.camel.impl.DefaultExecutorServiceManager - Using custom DefaultThreadPoolProfile: ThreadPoolProfile[defaultThreadPoolProfile (true) size:50-200, keepAlive: 60 SECONDS, maxQueue: 1000, allowCoreThreadTimeOut:false, rejectedPolicy:CallerRuns]
2021-06-25 15:40:34.629 [restartedMain] WARN  o.s.b.a.t.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration - Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
2021-06-25 15:40:34.661 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2021-06-25 15:40:34.683 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2021-06-25 15:40:34.687 [restartedMain] INFO  org.apache.camel.spring.SpringCamelContext - Apache Camel 2.24.2 (CamelContext: camel) is starting
2021-06-25 15:40:34.687 [restartedMain] INFO  o.a.camel.management.ManagedManagementStrategy - JMX is enabled
2021-06-25 15:40:34.737 [restartedMain] INFO  org.apache.camel.spring.SpringCamelContext - StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2021-06-25 15:40:34.754 [restartedMain] INFO  org.apache.camel.spring.SpringCamelContext - Route: route3 started and consuming from: direct://angus01App
2021-06-25 15:40:34.757 [restartedMain] INFO  org.restlet.Component.Server - Starting the internal [HTTP/1.1] server on port 8081
2021-06-25 15:40:34.758 [restartedMain] INFO  org.apache.camel.spring.SpringCamelContext - Route: angus01App started and consuming from: restlet://http://0.0.0.0:8081/test/angus01App?restletMethods=POST,OPTIONS
2021-06-25 15:40:34.759 [restartedMain] INFO  org.apache.camel.spring.SpringCamelContext - Total 2 routes, of which 2 are started
2021-06-25 15:40:34.759 [restartedMain] INFO  org.apache.camel.spring.SpringCamelContext - Apache Camel 2.24.2 (CamelContext: camel) started in 0.072 seconds
2021-06-25 15:40:34.763 [restartedMain] INFO  idv.example.demo.Angus01AppApplication - Started Angus01AppApplication in 1.071 seconds (JVM running for 2579.191)
2021-06-25 15:40:34.766 [restartedMain] INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
2021-06-25 15:40:51.472 [Thread-27] INFO  org.apache.camel.spring.SpringCamelContext - Apache Camel 2.24.2 (CamelContext: camel) is shutting down
2021-06-25 15:40:51.473 [Thread-27] INFO  org.apache.camel.impl.DefaultShutdownStrategy - Starting to graceful shutdown 2 routes (timeout 300 seconds)
2021-06-25 15:40:51.474 [Camel (camel) thread #3 - ShutdownTask] INFO  org.apache.camel.impl.DefaultShutdownStrategy - Route: angus01App shutdown complete, was consuming from: rest://post:/angus01App?componentName=restlet&description=helloWord%21%21&produces=application%2Fjson&routeId=angus01App
2021-06-25 15:40:51.475 [Camel (camel) thread #3 - ShutdownTask] INFO  org.apache.camel.impl.DefaultShutdownStrategy - Route: route3 shutdown complete, was consuming from: direct://angus01App
2021-06-25 15:40:51.475 [Thread-27] INFO  org.apache.camel.impl.DefaultShutdownStrategy - Graceful shutdown of 2 routes completed in 0 seconds
2021-06-25 15:40:51.486 [Thread-27] INFO  org.apache.camel.spring.SpringCamelContext - Apache Camel 2.24.2 (CamelContext: camel) uptime 16.799 seconds
2021-06-25 15:40:51.486 [Thread-27] INFO  org.apache.camel.spring.SpringCamelContext - Apache Camel 2.24.2 (CamelContext: camel) is shutdown in 0.014 seconds
2021-06-25 15:40:52.707 [restartedMain] INFO  idv.example.demo.Angus01AppApplication - Starting Angus01AppApplication using Java 1.8.0_252 on AngusChenCH with PID 3752 (E:\_BlueSprintTools4_workspace\Angus01App\target\classes started by AngusChen in E:\_BlueSprintTools4_workspace\Angus01App)
2021-06-25 15:40:52.707 [restartedMain] INFO  idv.example.demo.Angus01AppApplication - No active profile set, falling back to default profiles: default
2021-06-25 15:40:53.619 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.ws.config.annotation.DelegatingWsConfiguration' of type [org.springframework.ws.config.annotation.DelegatingWsConfiguration$$EnhancerBySpringCGLIB$$1d77d328] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-06-25 15:40:53.622 [restartedMain] INFO  o.s.w.s.a.server.AnnotationActionEndpointMapping - Supporting [WS-Addressing August 2004, WS-Addressing 1.0]
2021-06-25 15:40:53.656 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2021-06-25 15:40:53.657 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2021-06-25 15:40:53.657 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.46]
2021-06-25 15:40:53.686 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-06-25 15:40:53.686 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 975 ms
2021-06-25 15:40:53.706 [restartedMain] INFO  o.a.camel.core.xml.AbstractCamelContextFactoryBean - Using custom default ThreadPoolProfile with id: defaultThreadPoolProfile and implementation: org.apache.camel.model.ThreadPoolProfileDefinition@62769518
2021-06-25 15:40:53.711 [restartedMain] INFO  o.apache.camel.impl.converter.DefaultTypeConverter - Type converters loaded (core: 195, classpath: 11)
2021-06-25 15:40:53.711 [restartedMain] INFO  o.apache.camel.impl.DefaultExecutorServiceManager - Using custom DefaultThreadPoolProfile: ThreadPoolProfile[defaultThreadPoolProfile (true) size:50-200, keepAlive: 60 SECONDS, maxQueue: 1000, allowCoreThreadTimeOut:false, rejectedPolicy:CallerRuns]
2021-06-25 15:40:53.779 [restartedMain] WARN  o.s.b.a.t.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration - Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
2021-06-25 15:40:53.805 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2021-06-25 15:40:53.822 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2021-06-25 15:40:53.829 [restartedMain] INFO  org.apache.camel.spring.SpringCamelContext - Apache Camel 2.24.2 (CamelContext: camel) is starting
2021-06-25 15:40:53.832 [restartedMain] INFO  o.a.camel.management.ManagedManagementStrategy - JMX is enabled
2021-06-25 15:40:53.869 [restartedMain] INFO  org.apache.camel.spring.SpringCamelContext - StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2021-06-25 15:40:53.886 [restartedMain] INFO  org.apache.camel.spring.SpringCamelContext - Route: route4 started and consuming from: direct://angus01App
2021-06-25 15:40:53.889 [restartedMain] INFO  org.restlet.Component.Server - Starting the internal [HTTP/1.1] server on port 8081
2021-06-25 15:40:53.890 [restartedMain] INFO  org.apache.camel.spring.SpringCamelContext - Route: angus01App started and consuming from: restlet://http://0.0.0.0:8081/test/angus01App?restletMethods=POST,OPTIONS
2021-06-25 15:40:53.891 [restartedMain] INFO  org.apache.camel.spring.SpringCamelContext - Total 2 routes, of which 2 are started
2021-06-25 15:40:53.891 [restartedMain] INFO  org.apache.camel.spring.SpringCamelContext - Apache Camel 2.24.2 (CamelContext: camel) started in 0.062 seconds
2021-06-25 15:40:53.896 [restartedMain] INFO  idv.example.demo.Angus01AppApplication - Started Angus01AppApplication in 1.231 seconds (JVM running for 2598.323)
2021-06-25 15:40:53.898 [restartedMain] INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
2021-06-25 15:41:02.490 [Thread-37] INFO  org.apache.camel.spring.SpringCamelContext - Apache Camel 2.24.2 (CamelContext: camel) is shutting down
2021-06-25 15:41:02.491 [Thread-37] INFO  org.apache.camel.impl.DefaultShutdownStrategy - Starting to graceful shutdown 2 routes (timeout 300 seconds)
2021-06-25 15:41:02.494 [Camel (camel) thread #4 - ShutdownTask] INFO  org.apache.camel.impl.DefaultShutdownStrategy - Route: angus01App shutdown complete, was consuming from: rest://post:/angus01App?componentName=restlet&description=helloWord%21%21&produces=application%2Fjson&routeId=angus01App
2021-06-25 15:41:02.495 [Camel (camel) thread #4 - ShutdownTask] INFO  org.apache.camel.impl.DefaultShutdownStrategy - Route: route4 shutdown complete, was consuming from: direct://angus01App
2021-06-25 15:41:02.497 [Thread-37] INFO  org.apache.camel.impl.DefaultShutdownStrategy - Graceful shutdown of 2 routes completed in 0 seconds
2021-06-25 15:41:02.505 [Thread-37] INFO  org.apache.camel.spring.SpringCamelContext - Apache Camel 2.24.2 (CamelContext: camel) uptime 8.676 seconds
2021-06-25 15:41:02.505 [Thread-37] INFO  org.apache.camel.spring.SpringCamelContext - Apache Camel 2.24.2 (CamelContext: camel) is shutdown in 0.016 seconds
2021-06-25 15:41:03.631 [restartedMain] INFO  idv.example.demo.Angus01AppApplication - Starting Angus01AppApplication using Java 1.8.0_252 on AngusChenCH with PID 3752 (E:\_BlueSprintTools4_workspace\Angus01App\target\classes started by AngusChen in E:\_BlueSprintTools4_workspace\Angus01App)
2021-06-25 15:41:03.631 [restartedMain] INFO  idv.example.demo.Angus01AppApplication - No active profile set, falling back to default profiles: default
2021-06-25 15:41:03.982 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.ws.config.annotation.DelegatingWsConfiguration' of type [org.springframework.ws.config.annotation.DelegatingWsConfiguration$$EnhancerBySpringCGLIB$$1d77d328] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-06-25 15:41:03.985 [restartedMain] INFO  o.s.w.s.a.server.AnnotationActionEndpointMapping - Supporting [WS-Addressing August 2004, WS-Addressing 1.0]
2021-06-25 15:41:04.052 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2021-06-25 15:41:04.054 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2021-06-25 15:41:04.054 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.46]
2021-06-25 15:41:04.087 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-06-25 15:41:04.087 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 451 ms
2021-06-25 15:41:04.120 [restartedMain] INFO  o.a.camel.core.xml.AbstractCamelContextFactoryBean - Using custom default ThreadPoolProfile with id: defaultThreadPoolProfile and implementation: org.apache.camel.model.ThreadPoolProfileDefinition@42ca2f2
2021-06-25 15:41:04.126 [restartedMain] INFO  o.apache.camel.impl.converter.DefaultTypeConverter - Type converters loaded (core: 195, classpath: 11)
2021-06-25 15:41:04.126 [restartedMain] INFO  o.apache.camel.impl.DefaultExecutorServiceManager - Using custom DefaultThreadPoolProfile: ThreadPoolProfile[defaultThreadPoolProfile (true) size:50-200, keepAlive: 60 SECONDS, maxQueue: 1000, allowCoreThreadTimeOut:false, rejectedPolicy:CallerRuns]
2021-06-25 15:41:04.217 [restartedMain] WARN  o.s.b.a.t.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration - Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
2021-06-25 15:41:04.258 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2021-06-25 15:41:04.291 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2021-06-25 15:41:04.301 [restartedMain] INFO  org.apache.camel.spring.SpringCamelContext - Apache Camel 2.24.2 (CamelContext: camel) is starting
2021-06-25 15:41:04.301 [restartedMain] INFO  o.a.camel.management.ManagedManagementStrategy - JMX is enabled
2021-06-25 15:41:04.352 [restartedMain] INFO  org.apache.camel.spring.SpringCamelContext - StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2021-06-25 15:41:04.375 [restartedMain] INFO  org.apache.camel.spring.SpringCamelContext - Route: route5 started and consuming from: direct://angus01App
2021-06-25 15:41:04.380 [restartedMain] INFO  org.restlet.Component.Server - Starting the internal [HTTP/1.1] server on port 8081
2021-06-25 15:41:04.380 [restartedMain] INFO  org.apache.camel.spring.SpringCamelContext - Route: angus01App started and consuming from: restlet://http://0.0.0.0:8081/test/angus01App?restletMethods=POST,OPTIONS
2021-06-25 15:41:04.381 [restartedMain] INFO  org.apache.camel.spring.SpringCamelContext - Total 2 routes, of which 2 are started
2021-06-25 15:41:04.382 [restartedMain] INFO  org.apache.camel.spring.SpringCamelContext - Apache Camel 2.24.2 (CamelContext: camel) started in 0.082 seconds
2021-06-25 15:41:04.388 [restartedMain] INFO  idv.example.demo.Angus01AppApplication - Started Angus01AppApplication in 0.815 seconds (JVM running for 2608.815)
2021-06-25 15:41:04.393 [restartedMain] INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
2021-06-25 15:41:29.232 [Thread-47] INFO  org.apache.camel.spring.SpringCamelContext - Apache Camel 2.24.2 (CamelContext: camel) is shutting down
